Citizen,Insurance_claim
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
NonCitizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
NonCitizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
US Citizen,1
NonCitizen,1
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,0
US Citizen,1
US Citizen,0
US Citizen,1
NonCitizen,0
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,1
US Citizen,0
US Citizen,1
